Month,DATE_ADDED,Geographic identifier,"Pleiades, TGN, or FAST ID",TAG651_A,icons,Precision code,Precision,Region,Location,"Controlled heading (Pleiades, TGN, LCSH, or FAST)",Coordinates,Title and author,Imprint,Series,Library location,BSN,BSN length adjustment,View in library catalog
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.25, 29.75","Lebensweisheit der Alten Ägypter / eingeleitet, übersetzt und Kommentiert von Emma Brunner-Traut.","Freiburg : Herder, ©1985.",Herderbücherei ; Bd. 1236,Small Collection PJ1565 .B78 1985,4844491,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004844491?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.25, 30",L'hymne à la crue du Nil / éditée par Dirk van der Plas.,"Leiden : Nederlands Instituut voor het Nabije Oosten, 1986.",Egyptologische uitgaven ; 4,Large Collection PJ1565 .P5214 1986 t.1-2,4845644,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004845644?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.25, 30.25",Altägyptische Liebesdichtung / von Alfred Hermann.,"Wiesbaden : O. Harrassowitz, 1959.",,Small Collection PJ1569 .H47 1959,4773799,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004773799?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.5, 28.5",Grammaire démotique.,"Praha, 1947-51, [v. 1, 1949]",,Oversize Collection PJ1125 .L4 1947 v.1/2-7,4838112,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004838112?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.5, 29.5",Tübinger Einführung in die klassisch-ägyptische Sprache und Schrift / Wolfgang Schenkel.,"Tübingen : W. Schenkel, 2012.",,Small Collection PJ1111 .S343 2012,4841545,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004841545?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.5, 30",Science in Egyptology / edited by R.A. [i.e. A.R.] David.,"Manchester, UK : Manchester University Press, ©1986.",,Small Collection DT60 .P76 1986,4838148,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004838148?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.75, 28",Überlegungen zur Form der ägyptischen Literatur : die Geschichte des Schiffbrüchigen als literarisches Kunstwerk / Günter Burkard.,"Wiesbaden : Harrassowitz, 1993.","Ägypten und Altes Testament, 0720-9061 ; Bd. 22",Large Collection PJ1735.S53 B87 1993,4773688,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004773688?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.75, 28.25",Studien zur Lehre für Merikare / Joachim Friedrich Quack.,"Wiesbaden : O. Harrassowitz, 1992.","Göttinger Orientforschungen. IV. Reihe, Ägypten, 0340-6342 ; Bd. 23",Small Collection PJ1741 .Q34 1992,4846690,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004846690?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.75, 28.5",Le sage et l'insensé : la composition et la transmission des sagesses démotiques / Damien Agut-Labordère.,"Paris : Librairie Honoré Champion, 2011.",Bibliothèque de l'École des hautes études. Sciences historiques et philologiques ; t. 347,Small Collection PJ1809 .A387 2011,4837912,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004837912?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.75, 28.75","Demotische texte aus den königlichen museen zu Berlin : herausgegeben im auftrage des Generaldirektors, Bd.1","Leipzig : J.C. Hinrichs, 1913-",,Oversize Collection PJ1811 .B4 1913z Bd.1,4841783,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004841783?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.75, 29",Der verkommene Harfenspieler : eine altägyptische Invektive (P. Wien KM 3877) / herausgegeben und kommentiert von Heinz Josef Thissen.,"Sommerhausen : Gisela Zauzich Verlag, 1992.",Demotische Studien ; Bd. 11,Large Collection PJ1860 .T47 1992,4838099,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004838099?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.75, 29.25","Der verblendete Gelehrte : der erste Setna-Roman (P. Kairo 30646) / Umschrift, Übersetzung und Glossar von Sara Golbrunner.","Sommerhausen :Gisela Zauzich Verlag, 2006.",Demotische Studien ; 13,Large Collection PJ1871 .G65 2006,4838101,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004838101?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.75, 29.5",Kurzer Abriss der koptischen Grammatik : mit Lesestücken und Wörterverzeichnis / von Georg Steindorff.,"Berlin : Reuther & Reichard, 1921.",,Reference 4 Collection PJ2033 .S75 1921,4845652,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004845652?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.75, 29.75",Koptische Grammatik / von Ludwig Stern.,"Osnabrück : Biblio Verlag, 1971.",,Reference 4 Collection PJ2033 .S84 1971,4774137,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004774137?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.75, 30",Ausgewählte koptische zaubertexte / von Angelicus M. Kropp ; Geleitwort von Jean Capart ; Vorrede von W.E. Crum ; Gedruckt mit Unterstützung des Byzantine institute of America und Yassa bey Andraos Bichara.,"Bruxelles : Édition de la Fondation égyptologique reine Élisabeth, 1930-31 [v. 3, 1930]",,Small Collection PJ2195 .K76 1930 Bd.1-3,2834500,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph002834500?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"26.75, 30.25",Perceptum Canonis Ptolomei / by David Pingree.,"Louvain-la-Neuve :Bruylant-Academia, [1997]",Corpus des astronomes byzantins ; 8,Small Collection QB23 .P56 1997,4773734,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004773734?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"27, 28",Die Kopten / von Gustav Heuser.,"Heidelberg : F. Bilabel, 1938.",Quellen und Studien zur Geschichte und Kultur des Altertums und des Mittelalters. Reihe C: Hilfsbücher ; Bd. 2 // Prosopographie von Ägypten ; 4,Large Collection CS3070 .H48 1938a,4844439,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004844439?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"27, 29","Sport am Nil : Texte aus drei Jahrtausenden ägyptischer Geschichte / ausgewählt, übersetzt und kommentiert von Wolfgang Decker.","Hildesheim : Arete Verlag, ©2012.",,Small Collection GV573 .D416 2012,4835398,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004835398?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"27, 30",Ethos im koptischen Mönchtum : christliches Gedankengut oder kulturelles Erbe Altägyptens? / Andrea Eberle.,"Wiesbaden : Harrassowitz, 2001.","Ägypten und Altes Testament, 0720-9061 ; Bd. 52",Large Collection BX137.2 .E25 2001,4843991,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004843991?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"27, 31","Weiser und Wesir : Studien zu Vorkommen, Rolle und Wesen des Gottes Thot im ägyptischen Totenbuch / Martin Andreas Stadler.","Tübingen : Mohr Siebeck, ©2009.","Orientalische Religionen in der Antike =Oriental Religions in Antiquity, 1869-0513 ; 1",Small Collection BL2450.T5 S73 2009,4844621,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004844621?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"27.5, 28","The journal of juristic papyrology, v.45 (2015)","1946: New York : Polish Institute of Arts and Sciences in America, 1946-",,Oak Collection K10 .O8718 v.45 (2015),3472896,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph003472896?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"27.5, 28.5","Die altägyptische Zeichnung / Werner Forman, Hannelore Kischkewitz.",Hanau/M :Verlag Werner Dausien1988.,,Large Collection NC65.E35 F6 1988,4844098,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004844098?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"27.5, 29","Götter und Pharaonen : Roemer- u. Pelizaeus-Museum, Hildesheim, 29. Mai-16. September 1979 / [veranst. vom Roemer- u. Pelizaeus-Museum, Hildesheim ; wissenschaftl. Bearb. u. Katalog, Dietrich Wildung, Günter Grimm].","Mainz/Rhein : Von Zabern, 1979.",,Large Collection N5350 .G64 1979,4838171,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004838171?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"27.5, 29.5","Collectanea alexandrina : reliquiae minores poetarum graecorum aetatis ptolemaicae, 323-146 A.C., epicorum, elegiacorum, lyricorum, ethicorum / Cum epimetris et indice nominum edidit Iohannes U. Powell.","Oxonii : e Typographeo clarendoniano, 1925.",,Small Collection PA3423 .P6 1925 ,1806653,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph001806653?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981503,"<a href=""https://pleiades.stoa.org/places/981503""target=""new"">https://pleiades.stoa.org/places/981503</a>",,,3,Region,Egypt,(General),Aegyptus.,"27.5, 30",Bronze und Silber : Papyrologische Beiträge zur Geschichte der Währung im ptolemäischen und römischen Ägypten bis zum 2. Jahrhundert n. Chr. / Klaus Maresch.,"Opladen, Germany : Westdeutscher Verlag, 1996.",Abhandlungen der nordrhein-westfälischen Akademie der Wissenschaften. Sonderreihe Papyrologica Coloniensia ; v. 25,Small Collection HG237 .M273 1996,4845630,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004845630?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981534,"<a href=""https://pleiades.stoa.org/places/981534""target=""new"">https://pleiades.stoa.org/places/981534</a>",,,3,Region,Iraq,Mesopotamia,Mesopotamia.,"33.75, 43.5",La Mésopotamie / Jean-Jacques Glassner.,"Paris : Belles lettres, ©2002.",Guide Belles lettres des civilisations,Small Collection DS73.2 .G53 2002,4835288,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004835288?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981534,"<a href=""https://pleiades.stoa.org/places/981534""target=""new"">https://pleiades.stoa.org/places/981534</a>",,,3,Region,Iraq,Mesopotamia,Mesopotamia.,"33.75, 43.75",Trade and finance in ancient Mesopotamia : proceedings of the First MOS Symposium (Leiden 1997) / edited by J.G. Dercksen.,"[Istanbul] : Nederlands Historisch-Archaeologisch Instituut te Istanbul ; Leiden, Nederland : Nederl",MOS studies ; 1 // Uitgaven van het Nederlands Historisch-Archaeologisch Instituut te İstanbul =Publications de l'Institut historique-archéologique néerlandais de Stamboul ; 84,Large Collection HF368 .M67 1997 ,1620969,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph001620969?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981534,"<a href=""https://pleiades.stoa.org/places/981534""target=""new"">https://pleiades.stoa.org/places/981534</a>",,,3,Region,Iraq,Mesopotamia,Mesopotamia.,"33.75, 44",Mesopotamia : ancient art and architecture / Zainab Bahrani.,"London :Thames & Hudson, 2017.",,Large Collection N5370 .B28 2017,4844490,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004844490?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981534,"<a href=""https://pleiades.stoa.org/places/981534""target=""new"">https://pleiades.stoa.org/places/981534</a>",,,3,Region,Iraq,Mesopotamia,Mesopotamia.,"33.75, 44.25",Nergal ed Ereškigal : il poema assiro-babilonese degli inferi / Giovanni Pettinato ; introduzione di S.M. Chiodi.,"Roma : Accademia nazionale dei Lincei, 2000.","Atti della Accademia nazionale dei Lincei, 0391-8149 ; anno 397, 2000 // Memorie / Classe di scienze morali, storicche e filologiche, 0391-8149 ; ser. IX, v. XIII, fasc. 1",Small Collection PJ3771.N47 P48 2000,4838095,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004838095?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981534,"<a href=""https://pleiades.stoa.org/places/981534""target=""new"">https://pleiades.stoa.org/places/981534</a>",,,3,Region,Iraq,Mesopotamia,Mesopotamia.,"34, 43.5","Fluchtpunkt Uruk : archäologische Einheit aus methodischer Vielfalt :  Schriften für Hans Jörg Nissen / herausgegeben von Hartmut Kühne, Reinhard Bernbeck und Karin Bartl.","Rahden : Leidorf, 1999.","Internationale Archäologie. Studia honoraria, 1433-4194 ; Bd. 6",Large Collection DS56 .F68 1999 ,1659178,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph001659178?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981534,"<a href=""https://pleiades.stoa.org/places/981534""target=""new"">https://pleiades.stoa.org/places/981534</a>",,,3,Region,Iraq,Mesopotamia,Mesopotamia.,"34, 43.75","Houses and households in ancient Mesopotamia : papers read at 40e Rencontre assyriologique internationale, Leiden, July 5-8, 1993 / edited by Klaas R. Veenhof.","[Istanbul, Turkey] : Nederlands Historisch-Archaeologisch Instituut te Istanbul, 1996.",Uitgaven van het Nederlands Historisch-Archaeologisch Instituut te Istanbul =Publications de lʼInstitut historique-archéologique ńeerlandais de Stamboul ; 52,Large Collection DS56 .R46 1993 ,1454721,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph001454721?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981534,"<a href=""https://pleiades.stoa.org/places/981534""target=""new"">https://pleiades.stoa.org/places/981534</a>",,,3,Region,Iraq,Mesopotamia,Mesopotamia.,"34, 44","Dallo Stirone al Tigri, dal Tevere all'Eufrate : studi in onore di Claudio Saporetti / a cura di Paola Negri Scafa, Salvatore Viaggio.","Roma : Aracne, 2009.","Scienze dell'antichità, filologico-letterarie e storico-artistiche ; 477",Small Collection DS42.4 .D35 2009 ,4839250,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004839250?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981534,"<a href=""https://pleiades.stoa.org/places/981534""target=""new"">https://pleiades.stoa.org/places/981534</a>",,,3,Region,Iraq,Mesopotamia,Mesopotamia.,"34, 44.25",La tour de Babylone : que reste-t-il de la Mésopotamie? / Jean-Jacques Glassner.,"Paris : Seuil, c2003.",L'avenir du passé,Small Collection DS69.5 .G53 2003,1006348,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph001006348?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/981534,"<a href=""https://pleiades.stoa.org/places/981534""target=""new"">https://pleiades.stoa.org/places/981534</a>",,,3,Region,Iraq,Mesopotamia,Mesopotamia.,"34, 44.5",Ancient Mesopotamia : the Eden that never was / Susan Pollock.,"Cambridge : Cambridge University Press, 1999.",Case studies in early societies,Small Collection DS71 .P65 1999 ,1567907,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph001567907?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/985706528,"<a href=""https://pleiades.stoa.org/places/985706528""target=""new"">https://pleiades.stoa.org/places/985706528</a>",,,2,City,Egypt,Tabo,Tabo.,"19.484667, 30.426722","Tabo / par Charles Maystre, avec la collaboration de Andreas Arnold [and others], v. 1.","Genève : Georg, ©1986-",Mission archéologique de la Fondation Henry M. Blackmer et du Centre d'études orientales de l'Université de Genève ; 2,Oversize Collection DT159.9.T33 M39 1986 v.1,1942845,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph001942845?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,https://pleiades.stoa.org/places/991381,"<a href=""https://pleiades.stoa.org/places/991381""target=""new"">https://pleiades.stoa.org/places/991381</a>",,,3,Region,Turkey,Caria,Caria,"37.2131638336, 28.0889969027",The historical archaeology of northern Caria : a study in cultural adaptations / Ronald T. Marchese.,"Oxford, England : B.A.R., 1989.",BAR international series ; 536,Large Collection DS156.C33 M36 1989,4773699,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004773699?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,,,,,3,Region,India,(General),,"21, 78","Ganésa,a monograph on the elephant-faced god,by Alice Getty; with an introduction by Alfred Foucher.","Oxford, Clarendon Press, 1936.",,Large Collection BL1225.G34 G4 1936,2835215,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph002835215?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,,,,,3,Region,Arabian Peninsula,(General),,"23, 46",Nabatäische Inschriften aus Arabien / von Julius Euting.,"Berlin : G. Reimer, 1885.",,Antiquarian 2 Collection PJ5239.A1 E88 1885 ,4838178,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004838178?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,,,,,3,Region,Saudi Arabia,(General),,"24, 45",Mudawwanat al-nuqūsh al-Nabaṭīyah fī al-Mamlakah al-ʻArabīyah al-Saʻūdīyah / Sulaymān ibn ʻAbd al-Raḥmān al-Dhayyīb. / / مدونة النقوش النبطية في المملكة العربية السعودية / سليمان بن عبد الرحمن الذييب.,"al-Riyāḍ : Dārat al-Malik ʻAbd al-ʻAzīz, ©1431 [©2010]",Iṣdārāt Dārat al-Malik ʻAbd al-ʻAzīz ; 253 // إصدارات دارة الملك عبد العزيز ؛253,Small Collection PJ5239 .A1 2010 muj.1-2,4773770,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004773770?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,,,,,3,Region,China,Jianchuan Xian,,"26.418611, 99.740278","Jianchuan Xiang bi dong jiu shi qi yi zhi yan jiu / Dali Baizu Zizhizhou wen wu guan li suo, Yunnan Sheng wen wu kao gu yan jiu suo, Jianchuan Xian wen wu guan li suo bian. / / 剑川象鼻洞旧石器遗址研究 / 大理白族自治州文物管理所, 云南省文物考古研究所, 剑川县文物管理所编.","Beijing :Wen wu chu ban she, 2015. // 北京 :文物出版社, 2015.",,Small Collection DS797.86.J535 J535 2015 ,4843835,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004843835?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,,,,,4,Broad region,Middle East,(General),,"28.75, 42",Religionsgeschichte des Alten Orients / mit Beiträgen von Otto Eissfeldt [and others].,"Leiden : Brill, 1964.","Handbuch der Orientalistik. Erste Abteilung. Achter Bd, Religion ; 1. Abschnitt, Lfg. 1",Small Collection BL1060 .R4395 1964 ,2514991,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph002514991?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,,,,,4,Broad region,Middle East,(General),,"28.75, 42.5",Missionary stories and the formation of the Syriac churches / Jeanne-Nicole Mellon Saint-Laurent.,"Oakland, California :University of California Press, [2015] // ©2015",Transformation of the classical heritage ; 55,Small Collection BX4714.122 .S25 2015 ,4232505,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004232505?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,,,,,4,Broad region,Middle East,(General),,"28.75, 42.75",Environment and ethnicity in the Middle East / Pavel Dolukhanov.,"Aldershot ; Brookfield, Vermont, USA : Avebury, c1994.",Worldwide archaeology series ; 7,Small Collection DS57 .D64 1994 ,2157271,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph002157271?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,,,,,4,Broad region,Middle East,(General),,"28.75, 43","The Oxford encyclopedia of the Bible and archaeology / Daniel M. Master, editor in chief.","Oxford ; New York :Oxford University Press, [2013]",Oxford encyclopedias of the Bible,Reference 4 Collection DS111.A2 O94 2013 v.1-2,4852910,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004852910?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,,,,,4,Broad region,Middle East,(General),,"29, 42","Archaeozoology of the Near East VIII : actes des huitièmes Rencontres internationales d'archéozoologie de l'Asie du sud-ouest et des régions adjacentes, Lyon, 28 juin-1er juillet 2006 =  proceedings of the eighth international symposium on the archaeozoology of southwestern Asia and adjacent arreas, Lyon, June 28-July 1, 2006 / edited by Emmanuelle Vila ... [et al.].","Lyon : Maison de l'Orient et de la Méditerranée-Jean Pouilloux, c2008.","Travaux de la Maison de l'Orient et de la Méditerranée, 0766-0510 ; no 49",Large Collection CC79.5.A5 I586 2006 t.1-2,4852899,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004852899?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,,,,,4,Broad region,Middle East,(General),,"29, 42.25","The Annual of the American Schools of Oriental Research, v.29-30 (1955) & v.42 (1976)","New Haven, Conn. : Yale University Press, 1924-",,Large Collection DS101 .A45 v.29-30 (1955) & v.42 (1976),2866018,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph002866018?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,,,,,4,Broad region,Middle East,(General),,"29, 42.5",Islamic revolution and historical memory : an inquiry into the art of ʻAbbāsid apologetics / by Jacob Lassner.,"New Haven, Conn. : American Oriental Society, 1986.",American oriental series ; v. 66,Small Collection DS38.6 .L369 1986 ,2866758,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph002866758?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
2017-03,20170315,,,,,4,Broad region,Middle East,(General),,"29, 42.75",Sifting the sands of time : the Oriental Institute and the ancient Near East.,"Chicago : University of Chicago, Oriental Institute Museum, 1991.",,Small Collection DS41 .O73 1991 ,4838090,,"<a href=""https://library.nyu.edu/persistent/lcn/nyu_aleph004838090?institution=NYU&persistent""target=""new"">View in Library Catalog</a>"
